"ID","PLAYER"
"looneke01","Kevon Looney"
"lopezbr01","Brook Lopez"
"lopezro01","Robin Lopez"
"loveke01","Kevin Love"
"lowryky01","Kyle Lowry"
"lucasjo02","John Lucas III"
"luwawti01","Timoth Luwawu-Cabarrot"
"lylestr01","Trey Lyles"
"mcclesh01","Sheldon Mac"
"macksh01","Shelvin Mack"
"mahinia01","Ian Mahinmi"
"makerth01","Thon Maker"
"marjabo01","Boban Marjanovi?"
"martija01","Jarell Martin"
"matthwe02","Wesley Matthews"
"mbahalu01","Luc Mbah a Moute"
"mcadoja01","James Michael McAdoo"
"mccawpa01","Patrick McCaw"
"mccolcj01","CJ McCollum"
"mccontj01","T.J. McConnell"
"mcculch01","Chris McCullough"
"mcdankj01","K.J. McDaniels"
"mcderdo01","Doug McDermott"
"mcgeeja01","JaVale McGee"
"mcgruro01","Rodney McGruder"
"mclembe01","Ben McLemore"
"mcraejo01","Jordan McRae"
"mcrobjo01","Josh McRoberts"
"meeksjo01","Jodie Meeks"
"mejrisa01","Salah Mejri"
"mickejo01","Jordan Mickey"
"middlkh01","Khris Middleton"
"milescj01","C.J. Miles"
"millemi01","Mike Miller"
"millspa02","Patty Mills"
"millsel01","Elijah Millsap"
"millspa01","Paul Millsap"
"mirotni01","Nikola Miroti?"
"monrogr01","Greg Monroe"
"mooreet01","E'Twaun Moore"
"morrima03","Marcus Morris"
"morrima02","Markieff Morris"
"morroan01","Anthony Morrow"
"motiedo01","Donatas Motiej?nas"
"mozgoti01","Timofey Mozgov"
"mudiaem01","Emmanuel Mudiay"
"muhamsh01","Shabazz Muhammad"
"murrade01","Dejounte Murray"
"murraja01","Jamal Murray"
"muscami01","Mike Muscala"
"nancela02","Larry Nance Jr."
"napiesh01","Shabazz Napier"
"ndourma01","Maurice Ndour"
"nealga01","Gary Neal"
"nelsoja01","Jameer Nelson"
"netora01","Raul Neto"
"niangge01","Georges Niang"
"nichoan01","Andrew Nicholson"
"noahjo01","Joakim Noah"
"noelne01","Nerlens Noel"
"noguelu01","Lucas Nogueira"
"novakst01","Steve Novak"
"nowitdi01","Dirk Nowitzki"
"nurkiju01","Jusuf Nurki?"
"nwabada01","David Nwaba"
"obryajo01","Johnny O'Bryant"
"oquinky01","Kyle O'Quinn"
"ochefda01","Daniel Ochefu"
"okafoja01","Jahlil Okafor"
"oladivi01","Victor Oladipo"
"olynyke01","Kelly Olynyk"
"onuakar01","Arinze Onuaku"
"onuakch01","Chinanu Onuaku"
"oubreke01","Kelly Oubre Jr."
"pachuza01","Zaza Pachulia"
"papagge01","Georgios Papagiannis"
"parkeja01","Jabari Parker"
"parketo01","Tony Parker"
"parsoch01","Chandler Parsons"
"pattela01","Lamar Patterson"
"pattepa01","Patrick Patterson"
"paulch01","Chris Paul"
"paynead01","Adreian Payne"
"payneca01","Cameron Payne"
"paytoel01","Elfrid Payton"
"paytoga02","Gary Payton II"
"piercpa01","Paul Pierce"
"plumlma02","Marshall Plumlee"
"plumlma01","Mason Plumlee"
"plumlmi01","Miles Plumlee"
"poeltja01","Jakob Poeltl"
"porteot01","Otto Porter"
"portibo01","Bobby Portis"
"porzikr01","Kristaps Porzi??is"
"poweldw01","Dwight Powell"
"powelno01","Norman Powell"
"poythal01","Alex Poythress"
"pricero01","Ronnie Price"
"princta02","Taurean Prince"
"quartti01","Tim Quarterman"
"randlch01","Chasson Randle"
"randlju01","Julius Randle"
"randoza01","Zach Randolph"
"redicjj01","J.J. Redick"
"reedwi02","Willie Reed"
"richajo01","Josh Richardson"
"richama01","Malachi Richardson"
"riverau01","Austin Rivers"
"roberan03","Andre Roberson"
"roberbr01","Brian Roberts"
"robingl02","Glenn Robinson III"
"robinth01","Thomas Robinson"
"rodrise01","Sergio Rodrguez"
"rondora01","Rajon Rondo"
"rosede01","Derrick Rose"
"rosste01","Terrence Ross"
"roziete01","Terry Rozier"
"rubiori01","Ricky Rubio"
"rudezda01","Damjan Rude"
"rushbr01","Brandon Rush"
"russeda01","D'Angelo Russell"
"sabondo01","Domantas Sabonis"
"sandela01","Larry Sanders"
"saricda01","Dario ari?"
"satorto01","Tom Satoransk"
"schrode01","Dennis Schrder"
"scolalu01","Luis Scola"
"scottmi01","Mike Scott"
"sefolth01","Thabo Sefolosha"
"seldewa01","Wayne Selden"
"serapke01","Kevin Sraphin"
"sessira01","Ramon Sessions"
"shumpim01","Iman Shumpert"
"siakapa01","Pascal Siakam"
"simmojo02","Jonathon Simmons"
"singlky01","Kyle Singler"
"smartma01","Marcus Smart"
"smithis01","Ish Smith"
"smithjr01","J.R. Smith"
"smithja02","Jason Smith"
"snellto01","Tony Snell"
"speigma01","Marreese Speights"
"splitti01","Tiago Splitter"
"stausni01","Nik Stauskas"
"stephla01","Lance Stephenson"
"stokeja01","Jarnell Stokes"
"stonedi01","Diamond Stone"
"stuckro01","Rodney Stuckey"
"sullija01","Jared Sullinger"
"tavarwa01","Edy Tavares"
"taylois01","Isaiah Taylor"
"teaguje01","Jeff Teague"
"teletmi01","Mirza Teletovi?"
"templga01","Garrett Temple"
"terryja01","Jason Terry"
"thomais02","Isaiah Thomas"
"thomala01","Lance Thomas"
"thompho01","Hollis Thompson"
"thompkl01","Klay Thompson"
"thomptr01","Tristan Thompson"
"thornma01","Marcus Thornton"
"tobeymi01","Mike Tobey"
"tollian01","Anthony Tolliver"
"toupaax01","Axel Toupane"
"townska01","Karl-Anthony Towns"
"tuckepj01","P.J. Tucker"
"turneev01","Evan Turner"
"turnemy01","Myles Turner"
"udrihbe01","Beno Udrih"
"ulisty01","Tyler Ulis"
"uthofja01","Jarrod Uthoff"
"valanjo01","Jonas Valan?i?nas"
"valende01","Denzel Valentine"
"vanvlfr01","Fred VanVleet"
"varejan01","Anderson Varejo"
"vasqugr01","Greivis Vsquez"
"vaughra01","Rashad Vaughn"
"vonleno01","Noah Vonleh"
"vucevni01","Nikola Vu?evi?"
"vujacsa01","Sasha Vuja?i?"
"wadedw01","Dwyane Wade"
"waitedi01","Dion Waiters"
"walkeke02","Kemba Walker"
"walljo01","John Wall"
"warretj01","T.J. Warren"
"watsocj01","C.J. Watson"
"weberbr01","Briante Weber"
"westda01","David West"
"westbru01","Russell Westbrook"
"whiteok01","Okaro White"
"whiteis01","Isaiah Whitehead"
"whiteha01","Hassan Whiteside"
"wiggian01","Andrew Wiggins"
"wilcocj01","C.J. Wilcox"
"willial03","Alan Williams"
"willide01","Deron Williams"
"willide02","Derrick Williams"
"willilo02","Lou Williams"
"willima02","Marvin Williams"
"willire02","Reggie Williams"
"willitr02","Troy Williams"
"wiltjky01","Kyle Wiltjer"
"winslju01","Justise Winslow"
"witheje01","Jeff Withey"
"woodch01","Christian Wood"
"artesro01","Metta World Peace"
"wrighbr03","Brandan Wright"
"wrighde01","Delon Wright"
"youngja01","James Young"
"youngjo01","Joe Young"
"youngni01","Nick Young"
"youngth01","Thaddeus Young"
"zelleco01","Cody Zeller"
"zellety01","Tyler Zeller"
"zimmest01","Stephen Zimmerman"
"zipsepa01","Paul Zipser"
"zubaciv01","Ivica Zubac"
